[WiFi and Probe request correlation data]

AP	PR	Audio
29	28	0
31	84	0
24	111	0
27	15	0
24	11	0
45	88	0
50	61	0
25	19	0
28	25	0
32	90	0
17	24	0
50	79	0
32	85	0
34	177	0
22	28	0
26	75	0
53	60	0
27	31	0
55	90	0
27	85	0
20	23	0
51	75	0
24	33	0
53	63	0
28	131	0
12	26	0
31	40	0
28	216	0
52	70	0
50	68	0
53	64	0
45	65	0
23	88	0
48	80	0
25	85	0
21	21	0
44	64	0
30	92	0
16	36	0
54	89	0
28	1382	0
51	64	0
43	73	0
49	61	0
20	12	0
47	71	0
51	73	0
26	83	0
30	62	0
19	34	0
26	28	0
34	102	0
19	23	0
18	19	0
27	88	1
42	86	0
32	77	0
32	78	0
27	117	0
39	119	0
17	35	0
29	768	0
25	113	0
55	69	0
32	50	0
32	106	0
54	94	0
24	135	0
24	30	0
32	93	0
54	68	0
33	72	0
23	23	0
27	88	0
19	73	0
25	21	0
19	12	0
53	69	0
37	108	0
46	80	0
53	65	0
35	77	0
26	136	0
13	36	0
22	22	0
